O3Ia	O	3	Ia	148	1.85E+06	2.55E+01	42800	-0.34	-6.8	-4.12	-10.92	0.592156863	0.674509804	1	1.2546E-02	1.14E-01	3.10E-01	1.3E+03	1.8E+03	5.6E+02
O3Ib	O	3	Ib	136.9	1.40E+06	2.22E+01	42800	-0.34	-6.5	-4.12	-10.62	0.592156863	0.674509804	1	1.7588E-02	1.18E-01	3.21E-01	1.1E+03	1.6E+03	4.9E+02
O3II	O	3	II	125.8	1.21E+06	2.00E+01	43400	-0.34	-6.3	-4.16	-10.46	0.584313725	0.678431373	1	2.2104E-02	1.17E-01	3.18E-01	1.0E+03	1.5E+03	4.6E+02
O3III	O	3	III	114.7	9.17E+05	1.75E+01	43400	-0.34	-6	-4.16	-10.16	0.588235294	0.670588235	1	3.0083E-02	1.18E-01	3.22E-01	9.0E+02	1.3E+03	4.0E+02
O3IV	O	3	IV	103.6	6.96E+05	1.52E+01	43400	-0.34	-5.7	-4.16	-9.86	0.580392157	0.666666667	1	4.1467E-02	1.19E-01	3.23E-01	7.9E+02	1.1E+03	3.5E+02
O3V	O	3	V	92.5	6.34E+05	1.45E+01	43400	-0.34	-5.6	-4.16	-9.76	0.592156863	0.674509804	1	4.2649E-02	1.07E-01	2.91E-01	7.5E+02	1.1E+03	3.3E+02
O3VI	O	3	VI	23	4.81E+05	1.26E+01	43400	-0.34	-5.3	-4.16	-9.46	0.592156863	0.674509804	1	1.6162E-02	1.93E-02	5.24E-02	6.5E+02	9.4E+02	2.9E+02

O4Ia0	O	4	Ia0	158.7	1.32E+07	7.64E+01	40400	-0.33	-9.1	-3.95	-13.05	0.6	0.682352941	1	5.0023E-04	4.18E-02	1.14E-01	3.4E+03	4.9E+03	1.5E+03
O4Ia	O	4	Ia	147.3	1.74E+06	2.77E+01	40400	-0.33	-6.9	-3.95	-10.85	0.6	0.682352941	1	9.7418E-03	1.04E-01	2.84E-01	1.2E+03	1.8E+03	5.5E+02
O4Ib	O	4	Ib	135.8	1.20E+06	2.31E+01	40400	-0.33	-6.5	-3.95	-10.45	0.6	0.682352941	1	1.5486E-02	1.12E-01	3.05E-01	1.0E+03	1.5E+03	4.5E+02
O4II	O	4	II	124.4	9.60E+05	1.98E+01	41200	-0.34	-6.2	-4.01	-10.21	0.592156863	0.68627451	1	2.2527E-02	1.17E-01	3.17E-01	9.2E+02	1.3E+03	4.1E+02
O4III	O	4	III	112.9	7.28E+05	1.73E+01	41200	-0.34	-5.9	-4.01	-9.91	0.596078431	0.674509804	1	3.0650E-02	1.17E-01	3.19E-01	8.0E+02	1.2E+03	3.5E+02
O4IV	O	4	IV	101.5	5.52E+05	1.50E+01	41200	-0.34	-5.6	-4.01	-9.61	0.584313725	0.670588235	1	4.2273E-02	1.17E-01	3.19E-01	7.0E+02	1.0E+03	3.1E+02
O4V	O	4	V	90	5.04E+05	1.44E+01	41200	-0.34	-5.5	-4.01	-9.51	0.6	0.682352941	1	4.2367E-02	1.04E-01	2.83E-01	6.7E+02	9.6E+02	2.9E+02
O4VI	O	4	VI	20	3.82E+05	1.25E+01	41200	-0.34	-5.2	-4.01	-9.21	0.6	0.682352941	1	1.4394E-02	1.62E-02	4.39E-02	5.8E+02	8.4E+02	2.6E+02

O5Ia0	O	5	Ia0	158.4	1.03E+07	7.62E+01	38000	-0.33	-9	-3.78	-12.78	0.607843137	0.690196078	1	5.0323E-04	4.18E-02	1.14E-01	3.0E+03	4.3E+03	1.3E+03
O5Ia	O	5	Ia	142	1.48E+06	2.90E+01	38000	-0.33	-6.9	-3.78	-10.68	0.607843137	0.690196078	1	8.1841E-03	9.50E-02	2.58E-01	1.1E+03	1.7E+03	5.1E+02
O5Ib	O	5	Ib	125.6	1.03E+06	2.41E+01	38000	-0.33	-6.5	-3.78	-10.28	0.607843137	0.690196078	1	1.2613E-02	9.71E-02	2.64E-01	9.5E+02	1.4E+03	4.2E+02
O5II	O	5	II	109.2	7.59E+05	1.97E+01	39000	-0.33	-6.1	-3.85	-9.95	0.6	0.694117647	1	2.0077E-02	9.86E-02	2.68E-01	8.2E+02	1.2E+03	3.6E+02
O5III	O	5	III	92.8	5.25E+05	1.64E+01	39000	-0.33	-5.7	-3.85	-9.55	0.603921569	0.682352941	1	2.9573E-02	9.53E-02	2.59E-01	6.8E+02	9.8E+02	3.0E+02
O5IV	O	5	IV	76.4	4.37E+05	1.49E+01	39000	-0.33	-5.5	-3.85	-9.35	0.588235294	0.674509804	1	3.2465E-02	8.09E-02	2.20E-01	6.2E+02	9.0E+02	2.7E+02
O5V	O	5	V	60	3.98E+05	1.42E+01	39000	-0.33	-5.4	-3.85	-9.25	0.607843137	0.690196078	1	2.9455E-02	6.15E-02	1.67E-01	5.9E+02	8.5E+02	2.6E+02
O5VI	O	5	VI	17.5	3.02E+05	1.24E+01	39000	-0.33	-5.1	-3.85	-8.95	0.607843137	0.690196078	1	1.2902E-02	1.36E-02	3.70E-02	5.2E+02	7.4E+02	2.3E+02

O6Ia0	O	6	Ia0	136.7	7.81E+06	7.66E+01	35400	-0.32	-8.9	-3.58	-12.48	0.615686275	0.698039216	1	4.2752E-04	3.42E-02	9.28E-02	2.6E+03	3.8E+03	1.2E+03
